Date,MSFT
2021-12-01,326.56256103515625
2022-01-01,301.95770263671875
2022-02-01,290.12139892578125
2022-03-01,299.98419189453125
2022-04-01,270.025634765625
2022-05-01,264.52825927734375
2022-06-01,250.47640991210938
2022-07-01,273.7948913574219
2022-08-01,255.0015869140625
2022-09-01,227.62049865722656
2022-10-01,226.86795043945312
2022-11-01,249.35633850097656
2022-12-01,235.04417419433594
2023-01-01,242.8750762939453
2023-02-01,244.45298767089844
2023-03-01,283.26641845703125
2023-04-01,301.8954162597656
2023-05-01,322.65655517578125
2023-06-01,335.3258056640625
2023-07-01,330.7765808105469
2023-08-01,322.74151611328125
2023-09-01,311.5736389160156
2023-10-01,333.6379089355469
2023-11-01,373.8982238769531
2023-12-01,371.8193664550781
2024-01-01,393.1175842285156
2024-02-01,408.99737548828125
2024-03-01,416.76715087890625
2024-04-01,385.672119140625
2024-05-01,411.22967529296875
2024-06-01,443.5493469238281
2024-07-01,415.16693115234375
2024-08-01,413.96612548828125
2024-09-01,427.7956848144531
2024-10-01,403.985107421875
2024-11-01,420.9954833984375
2024-12-01,419.88568115234375
2025-01-01,413.4703674316406
2025-02-01,395.46954345703125
2025-03-01,374.7021179199219
2025-04-01,394.53570556640625
2025-05-01,459.5163879394531
2025-06-01,497.4100036621094
